問題ID,分野,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答,キーワード,解説
32,整形,胸郭出口症候群の罹患筋に対する治療穴で適切でないのはどれか,天窓,雲門,気戸,欠盆,3,TOS 経穴対応,気戸は適応であり不適切選択
33,整形,斜角筋への施術の必要性を示す理学検査所見はどれか,ジャクソンテスト陽性,モーリーテスト陽性,ヤーガソンテスト陽性,ファレンテスト陽性,2,モーリー 斜角筋,TOS斜角筋圧迫はモーリーテスト
34,整形,ペインフルアークサイン陽性の場合、施術対象となる罹患筋はどれか,棘上筋,菱形筋,肩甲下筋,肩甲挙筋,1,棘上筋 腱板,ペインフルアークは棘上筋障害
35,整形,SLRテスト陽性の腰下肢痛に対し、罹患神経を対象として大腿部へ施術を行う場合、適切な経絡はどれか,足太陰経,足少陰経,足太陽経,足少陽経,3,坐骨神経 膀胱経,坐骨神経は足太陽膀胱経が対応
36,整形,55歳の男性。2か月前、左上腕から前腕尺側、小指にかけて痛みが発症し、持続している。痛みは頸部後屈時に再現する。小指に知覚鈍麻がみられる。ライトテスト陰性。最も考えられる疾患はどれか。,頸部神経根症,胸郭出口症候群,肩関節周囲炎,肘部管症候群,1,神経根症 小指症状,頸部後屈で再現し小指症状はC8領域で神経根症
37,整形,67歳の男性。BMI30。糖尿病で加療中。200m程歩くと右下腿に痛みが生じるが、休むと軽減し、再び歩くことができる。前屈みで痛みに変化がなかった。本症にみられるのはどれか。,足背動脈拍動消失,ケンプ徴候陽性,アキレス腱反射亢進,トレンデレンブルグ徴候陽性,1,閉塞性動脈硬化症 間欠跛行,間欠跛行と前屈で不変は血管性跛行
38,整形,深部反射と中枢の組合せで適切なのはどれか。,上腕二頭筋反射—C5,上腕三頭筋反射—T7,膝蓋腱反射—L5,アキレス腱反射—S4,1,反射レベル C5,正しい対応は上腕二頭筋反射C5
39,整形,理学検査所見と病態に対する局所治療穴との組合せで適切でないのはどれか。,ペインフルアークサイン陽性—天府,中指伸展テスト陽性—曲池,フィンケルスタインテスト陽性—陽渓,フローマン徴候陽性—小海,1,肩 腱板不一致,ペインフルアークは腱板で天府は不適切
40,整形,理学検査所見と病態に対する局所治療穴との組合せで正しいのはどれか。,ニュートンテスト陽性—環跳,パトリックテスト陽性—足三里,ブラガード徴候陽性—殷門,大腿神経伸展テスト陽性—浮郄,3,坐骨神経 殷門,ブラガードは坐骨神経で殷門が適切
41,整形,70歳の男性。3か月前から歩行によって右下腿後面に締め付けられるような痛みが出現する。休息すると、姿勢にかかわらず痛みが軽減する。SLRテスト陰性、知覚検査異常なし。最も考えられる疾患はどれか。,腰部脊柱管狭窄症,腰椎椎間板ヘルニア,閉塞性動脈硬化症,糖尿病性ニューロパチー,3,血管性跛行 閉塞性動脈硬化症,姿勢無関係で休息で改善は血管性跛行
42,整形,70歳の男性。3か月前から歩行によって右下腿後面に締め付けられるような痛みが出現する。休息すると、姿勢にかかわらず痛みが軽減する。SLRテスト陰性、知覚検査異常なし。この患者の病態に対する施術目的で最も適切なのはどれか。,下肢の末梢循環改善,下肢の筋力増強,腰部の神経根圧迫の改善,腰部の筋緊張改善,1,血流改善,動脈硬化では血流改善が目的
43,整形,次の文で示す患者の罹患筋に対する局所治療穴で最も適切なのはどれか。「35歳の女性。フルタイムの事務職。右の肩から腕にかけての慢性的なこり感がある。1か月前から右の小指にしびれを自覚するようになった。右のモーリーテスト陽性、ジャクソンテスト陰性。」,風池,天柱,天宗,天容,2,TOS 斜角筋 天柱,モーリー陽性はTOSで斜角筋領域
44,整形,次の文で示す患者の病態に対し、施術対象となる罹患神経根として最も適切なのはどれか。「45歳の男性。荷物の搬送作業中に急激な疼痛が生じ、右下肢の前外側から足背にかけてしびれが出現した。右足関節背屈時の筋力低下と足背に知覚鈍麻がみられる。膝蓋腱反射とアキレス腱反射は正常。」,L3神経根,L4神経根,L5神経根,S1神経根,3,L5神経根,足背＋背屈低下はL5
45,整形,次の文で示す患者の病態に対し、罹患局所への施術対象となる神経根として適切なのはどれか。「35歳の男性。腰椎椎間板ヘルニアを発症し、腰下肢痛がある。長母指伸筋の筋力低下、足底部に知覚障害がみられる。アキレス腱反射は減弱する。」,L3神経根,L4神経根,L5神経根,S1神経根,4,S1神経根,アキレス低下＋足底はS1
46,整形,モーリーテスト陽性の場合、その原因となる罹患筋を触知する部位として適切なのはどれか。,頸椎棘突起部,後頭三角,鎖骨下窩,烏口突起下部,3,TOS 小胸筋,モーリーは鎖骨下で評価
47,整形,理学検査所見と局所施術部位との組み合わせで正しいのはどれか。,ペインフルアークサイン陽性—頭部,トムゼンテスト陽性—肩関節部,ラセーグテスト陽性—腰部,ニュートンテスト陽性—膝関節部,3,SLR 腰部,ラセーグ陽性は腰部由来
48,整形,股関節の病態の確認を目的として行う理学検査はどれか。,ヤーガソンテスト,SLRテスト,ラセーグテスト,パトリックテスト,4,股関節 パトリック,股関節評価はパトリック
49,整形,30歳の女性。電車での通勤時、右手でつり革につかまっていると同側上肢に痛みとしびれが出現する。烏口突起下部に圧痛を認める。病態の確認を目的として行う理学検査で最も適切なのはどれか。,ヤーガソンテスト,ライトテスト,ファレンテスト,ジャクソンテスト,2,TOS ライト,挙上で症状→ライトテスト
50,整形,30歳の女性。電車での通勤時、右手でつり革につかまっていると同側上肢に痛みとしびれが出現する。烏口突起下部に圧痛を認める。病態に対する局所施術部位はどれか。,三角筋,前鋸筋,小胸筋,広背筋,3,TOS 小胸筋,烏口突起下圧痛は小胸筋
51,整形,スピードテストが陽性の肩関節痛患者に対するマッサージ施術で対象となる罹患筋はどれか。,上腕筋,棘下筋,上腕二頭筋,烏口腕筋,3,二頭筋長頭,スピード陽性は二頭筋長頭
52,整形,60歳の女性。歩行により左股関節部に重だるさと軽い痛みが生じる。エックス線検査により変形性股関節症と診断されている。自発痛や熱感、腫脹はない。患肢で片脚立ちをさせると反対側の骨盤が下がる。該当する徴候はどれか。,ケンプ徴候,ケンプ徴候,トレンデレンブルグ徴候,ブルンベルグ徴候,3,トレンデレンブルグ 中殿筋,片脚立ちで骨盤低下はトレンデレンブルグ
53,整形,末梢顔面神経麻痺の施術で対象とならない筋はどれか。,前頭筋,眼輪筋,側頭筋,広頸筋,3,咀嚼筋 側頭筋,側頭筋は三叉神経支配で対象外
54,整形,モーリーテストが陽性となる疾患に対し、局所施術を行う場合、対象となる筋はどれか。,斜角筋,小胸筋,上腕二頭筋,僧帽筋,2,TOS 小胸筋,モーリーテストは鎖骨下で小胸筋による圧迫評価
55,整形,次の文で示す患者の罹患局所に対する施術部位として最も適切なのはどれか。「28歳の男性。半年前から左殿部から下腿後面にかけての放散痛がある。間欠跛行はみられない。エックス線検査では腰椎の異常所見は認めない。K・ボンネットテスト陽性、ケンプ徴候陰性。」,脊柱起立筋部,中殿筋部,梨状筋部,下腿三頭筋部,3,梨状筋症候群,Kボンネット陽性は梨状筋症候群
56,整形,理学検査所見と罹患部位に対する局所施術との組み合わせで最も適切なのはどれか。,SLRテスト陽性—大腿前面,パトリックテスト陽性—膝内側,膝内反ストレステスト陽性—膝外側,ニュートンテスト陽性—下腿前面,3,内反ストレス 外側側副靭帯,外反内反テストは靭帯障害評価
57,整形,63歳の男性。4か月前から頸肩部痛を自覚し、最近は左を向くと前腕内側から小指にかけて放散痛が出現するようになった。エックス線検査で頸椎の変形が指摘されている。椎間孔圧迫症状の確認を目的に行う理学検査で正しいのはどれか。,ジャクソンテスト,モーリーテスト,スピードテスト,ファレンテスト,1,頸神経根 ジャクソン,椎間孔圧迫はジャクソンテスト
58,整形,60歳の男性。200m程度の歩行で左大腿後面から下腿外側にかけて痛む。ケンプ徴候陽性。第5趾の触覚鈍麻がみられる。痛みを評価する方法として最も適切なのはどれか。,ROM,CMI,MMT,VAS,4,VAS 疼痛評価,痛みの評価はVASが基本
59,整形,ファレンテスト陽性の患者にティネル徴候をみる場合、叩打する部位の指標として最も適切なのはどれか。,陽池,少沢,大陵,神門,3,正中神経 手根管,手根管は大陵付近
60,整形,運動麻痺による症状と施術対象となる罹患筋との組合せで正しいのはどれか。,鷲手—前腕筋,下垂手—橈側手根屈筋,下垂足—下腿三頭筋,鶏足—前脛骨筋,4,下垂足 前脛骨筋,下垂足は背屈不能で前脛骨筋
61,整形,小胸筋の施術の必要性を示す徒手検査所見はどれか。,フィンケルスタインテスト陽性,スピードテスト陽性,ライトテスト陽性,トムゼンテスト陽性,3,TOS 小胸筋 ライト,ライトテスト陽性は小胸筋圧迫型TOS
62,整形,鷲手を呈する患者の罹患神経に対して経絡流注を考慮して施術を行う場合、最も適切なのはどれか。,大腸経,小腸経,心包経,三焦経,2,尺骨神経 小腸経,鷲手は尺骨神経で小腸経が対応
63,整形,65歳の女性。茶道教室講師。軽度の肥満。3年前から左膝の痛みを自覚。特に、長時間の正座や階段の昇降時に痛む。発熱、腫脹はない。マクマレーテスト陰性。左内側広筋の萎縮がみられる。最も考えられる疾患はどれか。,変形性膝関節症,関節リウマチ,半月板損傷,前十字靭帯損傷,1,変形性膝関節症,加齢＋階段＋筋萎縮はOA
64,整形,22歳の女性。ハードルの陸上選手。右殿部から下肢にかけて放散痛がある。仙骨外側縁から大転子にかけて筋の緊張と圧痛がみられる。病態の確認を目的として行う徒手検査で最も適切なのはどれか。,ニュートンテスト,トーマステスト,パトリックテスト,ボンネットテスト,4,梨状筋 ボンネット,殿部放散痛は梨状筋でボンネット
65,整形,ライトテスト陽性を示す患者の施術対象となる筋で、停止腱に対応する経穴はどれか。,曲泉,欠盆,巨骨,中府,2,小胸筋 停止腱,小胸筋停止は烏口突起付近で欠盆
66,整形,次の文で示す症例について施術の対象となる筋はどれか。「50歳男性。背側骨間筋の萎縮がみられる。フローマン徴候陽性。」,母指対立筋,母指内転筋,短母指外転筋,長母指屈筋,2,尺骨神経 母指内転筋,フローマン徴候は母指内転筋
67,整形,次の文で示す患者の罹患筋で最も適切なのはどれか。「55歳男性。左殿部から下肢後面にかけて痛みとしびれがある。以前に下位腰椎の椎間板ヘルニアを発症したことがあり、手術により完治した。梨状筋付近に圧痛を認める。K・ボンネットテスト陽性。」,梨状筋,大殿筋,大腿方形筋,大腿筋膜張筋,1,梨状筋症候群,Kボンネット陽性＋殿部圧痛で梨状筋
68,整形,次の文で示す症例で最も疑うべき障害部位はどれか。「68歳の女性。主訴は左殿部の痛み。ローレル・ストンを指標として検査で左側に異常を認めた。ニュートンテスト陰性。」,股関節,恥骨結合,仙腸関節,腰椎椎間関節,3,仙腸関節 ニュートン陰性,殿部痛＋ニュートン陰性は仙腸関節
69,整形,51歳の女性。主訴は股関節の痛み。痛みのため台所の立ち仕事が長く続けられない。近医で変形性股関節症と診断された。パトリックテストの操作として適切なのはどれか。,右の股関節を90度屈曲位に保ったまま膝だけを伸展させる,右膝を胸に近づけるように股関節と膝を深く曲げる,右足を左膝上に乗せ股関節を開排させた後、右膝の内側を下方に押す,右足を左膝の外側にもっていき右膝の外側を側方に押す,3,パトリック 股関節,外旋外転位からの圧迫で評価
70,整形,指床間距離を評価として用いるのはどれか。,頚椎症,肩関節周囲炎,筋筋膜性腰痛,変形性膝関節症,3,FFD 腰部柔軟性,指床間距離は体幹前屈評価
71,整形,次の文で示す症例に対する適切な局所施術穴はどれか。「40歳の女性。職業は調理師。痛みとしびれが第1〜第3指の掌側にある。ファレンテスト陽性。」,太陵,少沢,陽池,偏歴,1,正中神経 手根管,第1〜3指は正中神経で大陵
72,整形,大坐骨孔部に圧痛を認め、坐骨神経痛を呈する症例で陽性となる可能性が最も高いのはどれか。,パトリックテスト,Kボンネットテスト,トーマステスト,ニュートンテスト,2,梨状筋 ボンネット,梨状筋症候群で陽性
73,整形,徒手検査とその対象となる筋の組合せで最も適切なのはどれか。,チェアテスト—短橈側手根伸筋,トムゼンテスト—棘上筋,アプレイテスト—大腿四頭筋,グラスピングテスト—半腱様筋,1,テニス肘 短橈側手根伸筋,チェアテストは外側上顆炎
74,整形,38歳の女性。1か月前から家事動作で右手首の橈側が痛むようになり、近医でドケルバン病と診断された。湿布を続けていたが徐々に痛みが増強したため来院した。病態を確認する目的で行う徒手検査法として最も適切なのはどれか。,母指を中に入れて握った手の尺屈を指示する,母指を外にして握った手の尺屈を指示する,母指を中に入れて握った手の橈屈を指示する,母指を外にして握った手の橈屈を指示する,1,フィンケルスタイン ドケルバン,母指を握り込んで尺屈で誘発
75,整形,局所治療として欠盆への施術が最も適切な徒手検査所見はどれか。,ジャクソンテスト陽性,アドソンテスト陽性,インピンジメントテスト陽性,ヤーガソンテスト陽性,2,TOS 欠盆,欠盆は胸郭出口症候群でアドソン陽性に対応
76,整形,次の文に示す症例で最もみられやすい所見はどれか。「70歳の女性。10年前に慢性的な腰痛を自覚し、近医を受診したところ骨密度の減少を指摘された。5日前に尻もちをついて腰痛を発症した。下肢の神経学的所見に異常はない。」,階段状変形,棘突起の叩打痛,SLRテスト陽性,K・ボンネットテスト陽性,2,圧迫骨折 叩打痛,骨粗鬆症＋尻もち→圧迫骨折で叩打痛
77,整形,変形性膝関節症に伴う関節内水腫（水症）で陽性となる徒手検査法として最も適切なのはどれか。,アプレイテスト,ラックマンテスト,膝蓋跳動,膝蓋骨圧迫テスト,3,膝水腫 膝蓋跳動,水腫では膝蓋跳動
78,整形,次の文で示す症例の検査法で最も適切なものはどれか。「24歳の男性。陸上の長距離選手。2週間前から練習中に膝の外側に痛みを自覚。近医を受診し、膝の器質的病変は認められない。立位で軽度の脚長差を認めるが、膝関節の腫脹はない。」,マクマレーテスト,グラスピングテスト,前方引き出しテスト,外反ストレステスト,2,腸脛靭帯炎 グラスピング,ランナー膝はグラスピング
79,整形,55歳の男性。右肩関節の運動時に上腕に痛みが出現する。自発痛はなく、結節間溝部に圧痛を認める。関節拘縮は認められない。徒手検査で陽性となる可能性が最も高いのはどれか。,ペインフルアークサイン,ドロップアームテスト,ダウバーンサイン,スピードテスト,4,二頭筋長頭 スピード,結節間溝痛は二頭筋長頭
80,整形,次の文で示す患者への施術で罹患神経への治療穴として最も適切なのはどれか。「30歳の女性。1週間前から手の小指側にしびれを感じ、母指の内転運動障害がみられる。フローマン徴候陽性、アレンテスト陰性。」,列欠,霊道,大陵,陽池,4,尺骨神経 陽池,尺骨神経症状で陽池が適切
81,整形,徒手検査所見と罹患部への治療穴の組合せで適切なのはどれか。,チアテスト陽性—支正,グラスピングテスト陽性—梁丘,K・ボンネットテスト陽性—関元兪,インピンジメントテスト陽性—膈会,2,グラスピング 梁丘,ランナー膝で梁丘が適切
82,整形,次の文で示す症例で行った検査法はどれか。「55歳の男性。最近、耳の聞こえが悪くなり来院した。音叉を鳴らし、その把持部を乳様突起に当て、音が聞こえなくなった後、外耳孔近くで音叉の音を聞かせた。」,リンネ検査,ロンベルグ検査,チネル検査,ウェーバー検査,1,リンネ検査 空気伝導,骨伝導→空気伝導の順はリンネ
83,整形,58歳の女性。主訴は右手の痛み・しびれ。痛みの部位は小指を除く手掌部である。本症例に行った徒手検査で陽性を示すのはどれか。,トムゼンテスト,ファレンテスト,インピンジメントテスト,チェアテスト,2,正中神経 ファレン,母指〜環指橈側は正中神経
84,整形,上腕骨外側上顆炎の治療穴として局所の経穴を考慮する場合、適するのはどれか。,曲池,曲沢,尺沢,少海,1,テニス肘 曲池,外側上顆炎で曲池
85,整形,スポーツ外傷・障害と刺激する筋との組合せで正しいのはどれか。,バックハンドテニス肘—前腕伸筋,フォアハンドテニス肘—前腕回外筋,シンスプリント—三角筋,コンパートメント症候群—大腿四頭筋,1,テニス肘 伸筋群,バックハンドは伸筋群
86,整形,ジャンパー膝への鍼通電療法の対象として最も適切な筋はどれか。,大腿四頭筋,大腿二頭筋,下腿三頭筋,前脛骨筋,1,ジャンパー膝 四頭筋,膝蓋腱炎は大腿四頭筋
87,整形,膝に痛みを起こす疾患と患部の治療穴との組合せで最も適切なのはどれか。,変形性膝関節症—曲泉,ジャンパー膝—三陰交,内側半月板損傷—風市,オスグッド病—委中,1,膝 OA 曲泉,変形性膝関節症は曲泉
88,整形,次の文で示す患者の治療対象となる筋はどれか。「30歳の男性。野球選手。ボールを投げると肩関節外転外旋の肢位で痛みが起きる。ヤーガソンテスト陽性。」,上腕三頭筋長頭,上腕三頭筋内側頭,上腕二頭筋長頭,上腕二頭筋短頭,3,ヤーガソン 二頭筋長頭,ヤーガソン陽性は上腕二頭筋長頭
89,整形,スポーツ障害と患部への刺激部位との組合せで適切なのはどれか。,外側上顆炎—陽陵泉,内側上顆炎—陰陵泉,膝蓋靱帯炎—足三里,棘上筋腱損傷—肩髃,4,肩 腱板 肩髃,棘上筋損傷では肩髃が適切
90,整形,ジャンパー膝で施術対象となる罹患筋はどれか。,大腿二頭筋,大腿四頭筋,腓腹筋,長腓骨筋,2,ジャンパー膝 四頭筋,膝蓋腱炎は大腿四頭筋
91,整形,次の文で示す患者の病態に対し、治療対象となる罹患筋はどれか。「45歳の男性。テニスをする際、バックハンドストローク時に肘に痛みを感じる。チェアテスト陽性。」,回外筋,橈側手根屈筋,長掌筋,短橈側手根伸筋,4,テニス肘 短橈側手根伸筋,外側上顆炎で主に短橈側手根伸筋
92,整形,スポーツ障害と罹患局所への治療穴との組合せで適切でないのはどれか。,野球肩—肩髃,シンスプリント—三陰交,アキレス腱炎—承筋,フォアハンドテニス肘—少海,4,内側上顆 少海不適,フォアハンドは内側上顆で少海は不適
93,整形,オスグッド病の罹患局所に対する施術部位として適切でないのはどれか。,大腿四頭筋部,側副靱帯部,膝蓋靱帯部,脛骨粗面部,2,オスグッド 部位外れ,側副靱帯は無関係
94,整形,スポーツ障害とその施術対象になる筋との組合せで誤っているのはどれか。,ジャンパー膝—大腿四頭筋,テニス肘—短橈側手根伸筋,シンスプリント—上腕二頭筋,アキレス腱炎—下腿三頭筋,3,シンスプリント 下腿筋群,シンスプリントは下腿筋で上腕二頭筋は誤り
95,整形,次の文で示す患者の病態に対し、適切な刺激部位はどれか。「25歳の男性。テニス選手。最近バックハンドストローク時に肘に痛みを感じる。中指伸展テスト陽性。」,曲池,曲沢,尺沢,少海,1,テニス肘 曲池,外側上顆炎は曲池
96,整形,スポーツ障害とその局所治療穴との組合せで誤っているのはどれか。,アキレス腱炎—委中,シンスプリント—三陰交,水泳肩—天容,テニス肘—曲池,3,水泳肩 棘上筋,水泳肩は肩髃などで天容は不適切
97,整形,理学的検査所見と罹患局所への施術部位との組み合わせで適切なのはどれか。,インピンジメント徴候陽性—頸部,チアテスト陽性—肩関節部,モーリーテスト陽性—肘関節部,ファレンテスト陽性—手関節部,4,ファレン 手関節,ファレンは手関節（手根管）
